Vin,Make_Type,Reg_Class,Body,Segment,Make,Model,Trim,Odometer,sprice,Year,BuyHere,Seller,seller_address,Seller_City,Seller_State,Seller_Zip,Pump,Owner_City,Owner_State,Owner_Zip,Newused,data_yrmon,state_data,LienHolder,Fleet,fuel_type_txt,Lease,Alternative_Fuel,DealerType,Type,countynum,county_name
1VWDT7A36HC053075,Import,Car,4D,MID-SIZED,Volkswagen,Passat,1.8T R-Line,77135,16200,2017,,Mark Holcomb Auto Group,5801 Bosque Blvd,Waco,TX,76710,P52620,Lorena,TX,76655,Used,202201,TX,CAPITAL ONE AUTO FINANCE,,,,Gas,Local Dealer,Independent,,McLennan
WA1AAAF70HD006102,Import,Truck,UT,FULL-SIZED SPORT UTILITY,Audi,Q7,3.0T quattro Premium,114680,24930,2017,,Mercedes-Benz Of Waco,1625 North Valley Mills Dr,Waco,TX,76710,P8111,Lorena,TX,76655,Used,202201,TX,,,,,Gas,Local Dealer,Franchise,,McLennan
3GTP2VE74CG232810,Domestic,Truck,PU,FULL-SIZED PICKUP,GMC,Sierra 1500,SLE,150618,20900,2012,,I-35 Auto Direct,5806 S General Bruce Dr,Temple,TX,76502,P161889,Lorena,TX,76655,Used,202201,TX,TEXELL CU,,,,Gas,Pump-In Dealer,Independent,,McLennan
1FAHP2KT3AG115501,Domestic,Car,4D,SPORTY,Ford,Taurus,SHO,EXEMPT,9046,2010,,Keith Mccoy Automotive,222 S Buckner Blvd,Dallas,TX,75217,P149313,Lorena,TX,76655,Used,202201,TX,,,,,Gas,Pump-In Dealer,Independent,,McLennan
3VWC57BU7KM022551,Import,Car,4D,COMPACT,Volkswagen,Jetta,S,40437,24500,2019,,Unidentified Seller,,,,,,Lorena,TX,76655,Used,202201,TX,,,,,Gas,Pump-In Dealer,Franchise,,McLennan
1C3CCBAB4DN733245,Domestic,Car,4D,MID-SIZED,Chrysler,200,LX,162500,5588,2013,,Massey Motors,2425 Franklin Ave,Waco,TX,76701,P44462,Lorena,TX,76655,Used,202201,TX,,,,,Gas,Local Dealer,Independent,,McLennan
1GBHG31R121226238,Domestic,Truck,VN,FULL-SIZED VAN,Chevrolet,Express Cutaway,3500,EXEMPT,22995,2002,,Hudson Bus,3145 N MAIN ST,Cleburne,TX,76033,P127870,Lorena,TX,76655,Used,202201,TX,AMERICAN BANK,,,,Gas,Pump-In Dealer,Franchise,,McLennan
1GKS2JKL3MR185960,Domestic,Truck,UT,FULL-SIZED SPORT UTILITY,GMC,Yukon XL,Denali,12934,88000,2021,,Douglass Chevrolet Buick,1206 N Avenue G,Clifton,TX,76634,P13850,Lorena,TX,76655,Used,202201,TX,AUSTIN BANK,,,,Gas,Pump-In Dealer,Franchise,,McLennan
3VWC57BU5KM123569,Import,Car,4D,COMPACT,Volkswagen,Jetta,S,29840,23142,2019,,Douglass Mazda Volkswagen,3100 Briarcrest Dr,Bryan,TX,77802,P157287,China Spring,TX,76633,Used,202201,TX,WELLS FARGO BANK,,,,Gas,Pump-In Dealer,Franchise,,McLennan
1FT7W2B63JEB70318,Domestic,Truck,PU,MEDIUM & HEAVY TRUCK,Ford,F-250 Super Duty,King Ranch,102597,39991,2018,,Douglass Ford,1206 N Avenue G,Clifton,TX,76634,P158887,China Spring,TX,76633,Used,202201,TX,AMERICAN BANK,,,,Gas,Pump-In Dealer,Franchise,,McLennan
JTKJF5C70E3078477,Domestic,Car,CP,COMPACT,Scion,tC,Base,102522,11995,2014,,DFW Auto Mill,2438 W Division St,Arlington,TX,76012,P161128,China Spring,TX,76633,Used,202201,TX,MOBILITY CU,,,,Gas,Pump-In Dealer,Independent,,McLennan
1ZVHT82H885128414,Domestic,Car,CP,SPORTY,Ford,Mustang,GT Deluxe,EXEMPT,8995,2008,,Dorsey Auto Sales,1711 W Erwin St,Tyler,TX,75702,P152005,China Spring,TX,76633,Used,202201,TX,NAVY CU,,,,Gas,Pump-In Dealer,Independent,,McLennan
2FMTK3J94FBB60245,Domestic,Truck,UT,COMPACT SPORT-UTILITY,Ford,Edge,SEL,118791,15000,2015,,Family Fine Cars Trucks,2524 Franklin Ave,Waco,TX,76710,P142774,China Spring,TX,76633,Used,202201,TX,,,,,Gas,Local Dealer,Independent,,McLennan
1J4BA3H19BL562155,Domestic,Truck,UT,SMALL SPORT UTILITY,Jeep,Wrangler Unlimited,Sport,134515,20494,2011,,Spur Chrysler Dodge Jeep RAM,106 South Highway 36,Gatesville,TX,76528,P49638,China Spring,TX,76633,Used,202201,TX,A PLUS CU,,,,Gas,Pump-In Dealer,Franchise,,McLennan
4T1BZ1HK9JU500187,Import,Car,4D,MID-SIZED,Toyota,Camry,XLE V6,60138,22760,2018,,Woodway Car Center,9900 Woodway Dr,Woodway,TX,76712,P154752,China Spring,TX,76633,Used,202201,TX,,,,,Gas,Local Dealer,Independent,,McLennan
3C6UR5FLXLG258720,Domestic,Truck,PU,MEDIUM & HEAVY TRUCK,Ram,2500,Laramie,1966,72260,2020,,Unidentified Seller,,,,,,China Spring,TX,76633,Used,202201,TX,EDUCATORS CU,,,,Gas,Pump-In Dealer,Franchise,,McLennan
3FRNW65M68V640657,Domestic,Truck,HT,MEDIUM & HEAVY TRUCK,Ford,F-650 Super Duty,,EXEMPT,6000,2008,,Topline Trailers & Services Center LLC,,,TX,76633,P153272,China Spring,TX,76633,Used,202201,TX,,Y,,,Gas,Pump-In Dealer,Franchise,,McLennan
1M2AX04C7GM025190,Domestic,Truck,HT,MEDIUM & HEAVY TRUCK,Mack,Granite,,EXEMPT,6000,2016,,Topline Trailers & Services Center LLC,,,TX,76633,P153272,China Spring,TX,76633,Used,202201,TX,,Y,,,Gas,Pump-In Dealer,Franchise,,McLennan
JM1FE173560200611,Import,Car,4D,SPORTY,Mazda,RX-8,Automatic,EXEMPT,850,2006,,Jerald Fritze Used Cars,2008 Barnard St,Waco,TX,76701,P19817,China Spring,TX,76633,Used,202201,TX,,,,,Gas,Local Dealer,Independent,,McLennan
5TFDY5F13LX928713,Import,Truck,PU,FULL-SIZED PICKUP,Toyota,Tundra,SR5,17660,49594,2020,,Gunn Chevrolet,16550 I-35,Selma,TX,78154,P123348,China Spring,TX,76633,Used,202201,TX,EDUCATORS CU,,,,Gas,Pump-In Dealer,Franchise,,McLennan
1GCJK33607F560091,Domestic,Truck,PU,MEDIUM & HEAVY TRUCK,Chevrolet,Silverado 3500HD,Work Truck,EXEMPT,12750,2007,,Clark Auction,8896 North Hwy 6,Crawford,TX,76638,P125609,China Spring,TX,76633,Used,202201,TX,,,,,Gas,Local Dealer,Independent,,McLennan
1V2AP2CAXMC507006,Import,Truck,UT,FULL-SIZED SPORT UTILITY,Volkswagen,Atlas,S,24015,40032,2021,,Volkswagen of Waco,2301 W Loop 340,Waco,TX,76712,P151525,Riesel,TX,76682,Used,202201,TX,CAPITAL ONE AUTO FINANCE,,,,Gas,Local Dealer,Franchise,,McLennan
1C4PJLLBXKD143978,Domestic,Truck,UT,COMPACT SPORT-UTILITY,Jeep,Cherokee,Latitude Plus,49956,24999,2019,,Allen Samuels Dodge Chrysler Jeep Ram,201 West Loop 340,Waco,TX,76714,P108927,Riesel,TX,76682,Used,202201,TX,CHRYSLER CAPITAL,,,,Gas,Local Dealer,Franchise,,McLennan
5N1AR2MN0FC703080,Import,Truck,UT,FULL-SIZED SPORT UTILITY,Nissan,Pathfinder,S,127567,18695,2015,,Public Auto Group Waco TX,3301 Franklin Ave,Waco,TX,76710,P125877,Riesel,TX,76682,Used,202201,TX,PUBLIC AUTOMOTIVE GROUP,,,,Gas,Local Dealer,Independent,,McLennan
5TFEM5F10EX082429,Import,Truck,PU,FULL-SIZED PICKUP,Toyota,Tundra,SR5,146617,24999,2014,,Don Ringler Chevrolet,7777 S General Bruce Dr,Temple,TX,76502,P113368,Riesel,TX,76682,Used,202201,TX,TOYOTA MOTOR CREDIT CO,,,,Gas,Pump-In Dealer,Franchise,,McLennan
1GNERGKWXKJ100116,Domestic,Truck,UT,FULL-SIZED SPORT UTILITY,Chevrolet,Traverse,LT Cloth,66728,36693,2019,,Douglass Nissan of Waco,5605 Legend Lake Pkwy,Waco,TX,76710,P133327,Riesel,TX,76682,Used,202201,TX,GM FINANCIAL,,,,Gas,Local Dealer,Franchise,,McLennan
3GCPCRECXJG185264,Domestic,Truck,PU,FULL-SIZED PICKUP,Chevrolet,Silverado 1500,LT,92009,33068,2018,,Apple Sport Ford,1204 Hwy 6,Marlin,TX,76661,P142847,Riesel,TX,76682,Used,202201,TX,FIRST NATIONAL BANK WOODSBORO,,,,Gas,Pump-In Dealer,Franchise,,McLennan
3C4NJCCBXKT736662,Domestic,Truck,UT,SMALL SPORT UTILITY,Jeep,Compass,Limited,38310,25995,2019,,Jubilee Subaru Mitsubishi,4717 W Waco Dr,Waco,TX,76710,P150279,Riesel,TX,76682,Used,202201,TX,GENCO CU,,,,Gas,Local Dealer,Franchise,,McLennan
JM3KFADM7L0727108,Import,Truck,UT,COMPACT SPORT-UTILITY,Mazda,CX-5,Grand Touring,24946,32848,2020,,University Mazda Kia,3000 Interstate 35 S,Waco,TX,76710,P137082,Riesel,TX,76682,Used,202201,TX,GENCO CU,,,,Gas,Local Dealer,Franchise,,McLennan
KM8J33AL4KU041891,Import,Truck,UT,COMPACT SPORT-UTILITY,Hyundai,TUCSON,Limited,25000,24673,2019,,Sykora Family Ford,519 S George Kacir Dr,West,TX,76691,P21462,Riesel,TX,76682,Used,202201,TX,EXTRACO BANK,,,,Gas,Local Dealer,Franchise,,McLennan
1FT8W3BT5CEC05914,Domestic,Truck,PU,MEDIUM & HEAVY TRUCK,Ford,F-350 Super Duty,XL,221852,16995,2012,,Metro Auto Sales,2006 E Division St,Arlington,TX,76012,P114463,Riesel,TX,76682,Used,202201,TX,FIRST NATIONAL BANK WOODSBORO,,,,Gas,Pump-In Dealer,Independent,,McLennan
1C4RJEAG2JC443120,Domestic,Truck,UT,COMPACT SPORT-UTILITY,Jeep,Grand Cherokee,Laredo,48993,21800,2018,,AutoSavvy Fort Worth,3001 NE Loop 820,Fort Worth,TX,76137,P163296,Riesel,TX,76682,Used,202201,TX,,,,,Gas,Pump-In Dealer,Independent,,McLennan
1C6RR7LT4LS159163,Domestic,Truck,PU,FULL-SIZED PICKUP,Ram,1500 Classic,SLT,14564,41494,2020,,Spur Chrysler Dodge Jeep RAM,106 South Highway 36,Gatesville,TX,76528,P49638,Riesel,TX,76682,Used,202201,TX,EDUCATORS CU,,,,Gas,Pump-In Dealer,Franchise,,McLennan
5TDKK3DC4CS249220,Import,Car,VN,MINIVAN,Toyota,Sienna,LE 7-Passenger Auto Access Seat,95203,15400,2012,,Reliable Auto Network,2009 E Abram St,Arlington,TX,76010,P101064,Riesel,TX,76682,Used,202201,TX,,,,,Gas,Pump-In Dealer,Independent,,McLennan
3C63RRGL7LG158592,Domestic,Truck,PU,MEDIUM & HEAVY TRUCK,Ram,3500,Tradesman,3675,62999,2020,,Pippen Motor Company,1300 W Panola St,Carthage,TX,75633,P4585,Riesel,TX,76682,Used,202201,TX,FIRST NATIONAL BANK WOODSBORO,,,,Gas,Pump-In Dealer,Franchise,,McLennan
3HGCM56417G704143,Import,Car,4D,MID-SIZED,Honda,Accord,LX,EXEMPT,0,2007,,Interstate Motors,17794 S Interstate 35,Bruceville,TX,76630,P154025,Bruceville,TX,76630,Used,202201,TX,,Y,,,Gas,Local Dealer,Independent,,McLennan
WBAVC93598K035917,Import,Car,4D,LUXURY,BMW,3 Series,328xi,EXEMPT,0,2008,,Interstate Motors,17794 S Interstate 35,Bruceville,TX,76630,P154025,Bruceville,TX,76630,Used,202201,TX,,Y,,,Gas,Local Dealer,Independent,,McLennan
5NPEC4AC0DH511696,Import,Car,4D,LARGE,Hyundai,SONATA,SE,116376,0,2013,Yes,Sign & Drive Auto Sales,2124 Franklin Ave,Waco,TX,76701,P116086,Bruceville,TX,76630,Used,202201,TX,SIGN & DRIVE AUTO SALES,,,,Gas,Local Dealer,Independent,,McLennan
1D7HA18D34S543453,Domestic,Truck,PU,FULL-SIZED PICKUP,Dodge,Ram 1500,ST,EXEMPT,8486,2004,,Five Guys Imports,16325 FM 1325,Austin,TX,78728,P118779,Bruceville,TX,76630,Used,202201,TX,,,,,Gas,Pump-In Dealer,Independent,,McLennan
KMHD35LH3EU160201,Import,Car,4D,MID-SIZED,Hyundai,ELANTRA GT,Base,110491,10000,2014,,DKS Enterprises,6812 K Ave,Plano,TX,75074,P111657,Bruceville,TX,76630,Used,202201,TX,,,,,Gas,Pump-In Dealer,Independent,,McLennan
1FT7W2BT6LED16249,Domestic,Truck,PU,MEDIUM & HEAVY TRUCK,Ford,F-250 Super Duty,King Ranch,35967,52998,2020,,CarMax Fort Worth,8400 Anderson Blvd,Fort Worth,TX,76120,P35373,Mcgregor,TX,76657,Used,202201,TX,TEXELL CU,,,,Gas,Pump-In Dealer,Independent,,McLennan
5TFSZ5ANXKX169068,Import,Truck,PU,COMPACT PICKUP,Toyota,Tacoma,TRD Off-Road,21653,37998,2019,,CarMax Killeen,3504 E Central Texas Expy,Killeen,TX,76543,P153608,Mcgregor,TX,76657,Used,202201,TX,,,,,Gas,Pump-In Dealer,Independent,,McLennan
4JGDA0EB2FA470327,Import,Truck,UT,COMPACT SPORT-UTILITY,Mercedes-Benz,M-Class,ML 250 BlueTEC,46520,30990,2015,,Carvana Austin,6014 S IH 35 Frontage Rd,Austin,TX,78745,P137592,Mcgregor,TX,76657,Used,202201,TX,CARVANA,,,,Gas,Pump-In Dealer,Independent,,McLennan
4T1BF1FK3HU640483,Import,Car,4D,MID-SIZED,Toyota,Camry,LE,82646,18691,2017,,BMW MINI of Dallas,6200 Lemmon Ave Suite 1,Dallas,TX,75209,P51470,Mcgregor,TX,76657,Used,202201,TX,GM FINANCIAL,,,,Gas,Pump-In Dealer,Franchise,,McLennan
1FADP3L97FL304285,Domestic,Car,4D,SPORTY,Ford,Focus,ST,79881,21123,2015,,David McDavid Honda of Irving,3700 W Airport Fwy,Irving,TX,75062,P102011,Mcgregor,TX,76657,Used,202201,TX,,,,,Gas,Pump-In Dealer,Franchise,,McLennan
JN8AZ2NF6K9683800,Import,Truck,UT,FULL-SIZED SPORT UTILITY,INFINITI,QX80,Luxe,26780,53858,2019,,Grubbs Infiniti,1500 W State Highway 114,Grapevine,TX,76051,P128454,Mcgregor,TX,76657,Used,202201,TX,,,,,Gas,Pump-In Dealer,Franchise,,McLennan
JN8AZ1FY9EW302201,Import,Truck,UT,FULL-SIZED SPORT UTILITY,Nissan,Murano CrossCabriolet,Base,61563,20518,2014,,Park Place Lexus Grapevine,901 State Highway 114 E,Grapevine,TX,76051,P159858,Mcgregor,TX,76657,Used,202201,TX,JP MORGAN CHASE BANK,,,,Gas,Pump-In Dealer,Franchise,,McLennan
3C6UR5CL5FG563504,Domestic,Truck,PU,FULL-SIZED PICKUP,Ram,2500,ST,126216,35000,2015,,Covert Chrysler Dodge Jeep Ram,8107 Research Blvd,Austin,TX,78758,P117004,Mcgregor,TX,76657,Used,202201,TX,Unidentified Lienholder,,,,Gas,Pump-In Dealer,Franchise,,McLennan
1FMJU1KT1KEA30633,Domestic,Truck,UT,FULL-SIZED SPORT UTILITY,Ford,Expedition,Limited,29027,59984,2019,,Keating Nissan,333 Interstate 45,Conroe,TX,77304,P136995,Mcgregor,TX,76657,Used,202201,TX,Ally Financial,,,,Gas,Pump-In Dealer,Franchise,,McLennan
3VV3B7AX5LM128507,Import,Truck,UT,COMPACT SPORT-UTILITY,Volkswagen,Tiguan,SE,17376,36620,2020,,Volkswagen of Waco,2301 W Loop 340,Waco,TX,76712,P151525,Mcgregor,TX,76657,Used,202201,TX,CAPITAL ONE AUTO FINANCE,,,,Gas,Local Dealer,Franchise,,McLennan
3C4NJCAB0MT560985,Domestic,Truck,UT,SMALL SPORT UTILITY,Jeep,Compass,Sport,4472,26633,2021,,Allen Samuels Dodge Chrysler Jeep Ram,201 West Loop 340,Waco,TX,76714,P108927,Mcgregor,TX,76657,Used,202201,TX,TD BANK,,,,Gas,Local Dealer,Franchise,,McLennan
1FTEW1C5XJKC79965,Domestic,Truck,PU,FULL-SIZED PICKUP,Ford,F-150,King Ranch,64604,35000,2018,,Allen Samuels Dodge Chrysler Jeep Ram,201 West Loop 340,Waco,TX,76714,P108927,Mcgregor,TX,76657,Used,202201,TX,EDUCATORS CU,,,,Gas,Local Dealer,Franchise,,McLennan
1FMSK7FH5LGC89800,Domestic,Truck,UT,FULL-SIZED SPORT UTILITY,Ford,Explorer,Limited,17777,46500,2020,,Allen Samuels Dodge Chrysler Jeep Ram,201 West Loop 340,Waco,TX,76714,P108927,Mcgregor,TX,76657,Used,202201,TX,JP MORGAN CHASE BANK,,,,Gas,Local Dealer,Franchise,,McLennan
1FA6P8CF2K5202015,Domestic,Car,CP,SPORTY,Ford,Mustang,GT,8951,38290,2019,,Ford of Boerne,31480 Interstate 10 Frontage Rd,Boerne,TX,78006,P150066,Mcgregor,TX,76657,Used,202201,TX,ROCKET CU,,,,Gas,Pump-In Dealer,Franchise,,McLennan
1GNSCNKD7MR145347,Domestic,Truck,UT,FULL-SIZED SPORT UTILITY,Chevrolet,Tahoe,LT,10609,62885,2021,,Killeen Hyundai,3221 E Central Texas Expy,Killeen,TX,76543,P18531,Mcgregor,TX,76657,Used,202201,TX,JP MORGAN CHASE BANK,,,,Gas,Pump-In Dealer,Franchise,,McLennan
JTJSARBZ3L5017546,Import,Car,SW,COMPACT SPORT-UTILITY,Lexus,NX 300,F SPORT,22311,41998,2020,,CarMax Killeen,3504 E Central Texas Expy,Killeen,TX,76543,P153608,Mcgregor,TX,76657,Used,202201,TX,,,,,Gas,Pump-In Dealer,Independent,,McLennan
3C4PDCAB9JT518178,Domestic,Truck,UT,FULL-SIZED SPORT UTILITY,Dodge,Journey,SE,58416,21534,2018,,Chevrolet of West,225 T M W Pkwy,West,TX,76691,P103089,Mcgregor,TX,76657,Used,202201,TX,FLAGSHIP CREDIT,,,,Gas,Local Dealer,Franchise,,McLennan
2GNAXJEV4J6166631,Domestic,Truck,UT,COMPACT SPORT-UTILITY,Chevrolet,Equinox,LT,60341,22768,2018,,Chevrolet of West,225 T M W Pkwy,West,TX,76691,P103089,Mcgregor,TX,76657,Used,202201,TX,Ally Financial,,,,Gas,Local Dealer,Franchise,,McLennan
1GTR1LEC2JZ166882,Domestic,Truck,PU,FULL-SIZED PICKUP,GMC,Sierra 1500,Base,56323,28129,2018,,Chevrolet of West,225 T M W Pkwy,West,TX,76691,P103089,Mcgregor,TX,76657,Used,202201,TX,SANTANDER CONSUMER USA,,,,Gas,Local Dealer,Franchise,,McLennan
3GCUKREC3JG242216,Domestic,Truck,PU,FULL-SIZED PICKUP,Chevrolet,Silverado 1500,LT,65984,41145,2018,,University Mazda Kia,3000 Interstate 35 S,Waco,TX,76710,P137082,Mcgregor,TX,76657,Used,202201,TX,Ally Financial,,,,Gas,Local Dealer,Franchise,,McLennan
3GCPWBEH5LG199554,Domestic,Truck,PU,FULL-SIZED PICKUP,Chevrolet,Silverado 1500,Custom,44792,36095,2020,,Gunn Buick GMC,16440 I-35,Selma,TX,78154,P121830,Mcgregor,TX,76657,Used,202201,TX,SANTANDER CONSUMER USA,,,,Gas,Pump-In Dealer,Franchise,,McLennan
1GKS1CKJ2GR150408,Domestic,Truck,UT,FULL-SIZED SPORT UTILITY,GMC,Yukon,Denali,78055,39975,2016,,Garlyn Shelton Buick GMC Cadillac Mazda,5625 S General Bruce Dr,Temple,TX,76502,P10513,Mcgregor,TX,76657,Used,202201,TX,JP MORGAN CHASE BANK,,,,Gas,Pump-In Dealer,Franchise,,McLennan
1C6RREFT5LN406138,Domestic,Truck,PU,FULL-SIZED PICKUP,Ram,1500,Big Horn,21927,42794,2020,,Garlyn Shelton Buick GMC Cadillac Mazda,5625 S General Bruce Dr,Temple,TX,76502,P10513,Mcgregor,TX,76657,Used,202201,TX,TEXELL CU,,,,Gas,Pump-In Dealer,Franchise,,McLennan
5XYZU3LB1EG176101,Import,Truck,UT,COMPACT SPORT-UTILITY,Hyundai,SANTA FE Sport,2.4L,112574,13989,2014,,Greg May Honda,1601 W Loop 340,Waco,TX,76712,P20463,Mcgregor,TX,76657,Used,202201,TX,USAA FEDERAL SAVINGS BANK,,,,Gas,Local Dealer,Franchise,,McLennan
WAUAUGFF1H1028499,Import,Car,4D,LUXURY,Audi,A3,2.0T Premium,69242,22762,2017,,Greg May Honda,1601 W Loop 340,Waco,TX,76712,P20463,Mcgregor,TX,76657,Used,202201,TX,JP MORGAN CHASE BANK,,,,Gas,Local Dealer,Franchise,,McLennan
1GNSKPKD8MR193812,Domestic,Truck,UT,FULL-SIZED SPORT UTILITY,Chevrolet,Tahoe,Z71,19638,76450,2021,,Bird Kultgen Ford,1701 W Loop 340,Waco,TX,76701,P10554,Mcgregor,TX,76657,Used,202201,TX,,,,,Gas,Local Dealer,Franchise,,McLennan
1FT7W2BT6FEB77647,Domestic,Truck,PU,MEDIUM & HEAVY TRUCK,Ford,F-250 Super Duty,King Ranch,83121,49687,2015,,Bird Kultgen Ford,1701 W Loop 340,Waco,TX,76701,P10554,Mcgregor,TX,76657,Used,202201,TX,US BANK,,,,Gas,Local Dealer,Franchise,,McLennan
5N1AZ2MJ4KN155869,Import,Truck,UT,FULL-SIZED SPORT UTILITY,Nissan,Murano,S,29446,31495,2019,,Douglass Nissan of Waco,5605 Legend Lake Pkwy,Waco,TX,76710,P133327,Mcgregor,TX,76657,Used,202201,TX,JP MORGAN CHASE BANK,,,,Gas,Local Dealer,Franchise,,McLennan
1FTEW1E44KKE77446,Domestic,Truck,PU,FULL-SIZED PICKUP,Ford,F-150,XL,34552,44987,2019,,Apple Sport Ford,1204 Hwy 6,Marlin,TX,76661,P142847,Mcgregor,TX,76657,Used,202201,TX,TD BANK,,,,Gas,Pump-In Dealer,Franchise,,McLennan
1C4SDJGJ9JC150464,Domestic,Truck,UT,FULL-SIZED SPORT UTILITY,Dodge,Durango,SRT,19555,60836,2018,,Cecil Atkission Motors,2601 S Water St,Burnet,TX,78611,P43121,Mcgregor,TX,76657,Used,202201,TX,FIFTH THIRD BANK,,,,Gas,Pump-In Dealer,Franchise,,McLennan
JF1ZNAA14D2728328,Domestic,Car,CP,SPORTY,Scion,FR-S,Base,70008,15400,2013,,Huffines Kia Subaru,6940 South I-35E,Corinth,TX,76210,P154958,Mcgregor,TX,76657,Used,202201,TX,SANTANDER CONSUMER USA,,,,Gas,Pump-In Dealer,Franchise,,McLennan
4T1BF1FK6HU649016,Import,Car,4D,MID-SIZED,Toyota,Camry,LE,30777,19495,2017,,Unidentified Seller,,,,,,Mcgregor,TX,76657,Used,202201,TX,CHRYSLER CAPITAL,,,,Gas,Pump-In Dealer,Franchise,,McLennan
1GCGSDE38G1313031,Domestic,Truck,PU,COMPACT PICKUP,Chevrolet,Colorado,Z71,90761,26980,2016,,Jim Turner Chevrolet,1015 E Mcgregor Dr,McGregor,TX,76657,P127715,Mcgregor,TX,76657,Used,202201,TX,WELLS FARGO BANK,,,,Gas,Local Dealer,Franchise,,McLennan
3GCUKREC1FG535555,Domestic,Truck,PU,FULL-SIZED PICKUP,Chevrolet,Silverado 1500,LT,118346,29980,2015,,Jim Turner Chevrolet,1015 E Mcgregor Dr,McGregor,TX,76657,P127715,Mcgregor,TX,76657,Used,202201,TX,EXETER FINANCE CORP,,,,Gas,Local Dealer,Franchise,,McLennan
KM8J33AL9KU997934,Import,Truck,UT,COMPACT SPORT-UTILITY,Hyundai,TUCSON,Limited,47535,31980,2019,,Jim Turner Chevrolet,1015 E Mcgregor Dr,McGregor,TX,76657,P127715,Mcgregor,TX,76657,Used,202201,TX,JP MORGAN CHASE BANK,,,,Gas,Local Dealer,Franchise,,McLennan
1N4BL4BVXKC104566,Import,Car,4D,MID-SIZED,Nissan,Altima,2.5 S,48381,24980,2019,,Jim Turner Chevrolet,1015 E Mcgregor Dr,McGregor,TX,76657,P127715,Mcgregor,TX,76657,Used,202201,TX,SANTANDER CONSUMER USA,,,,Gas,Local Dealer,Franchise,,McLennan
3GCUKSEC0FG475758,Domestic,Truck,PU,FULL-SIZED PICKUP,Chevrolet,Silverado 1500,LTZ,106716,36680,2015,,Jim Turner Chevrolet,1015 E Mcgregor Dr,McGregor,TX,76657,P127715,Mcgregor,TX,76657,Used,202201,TX,WELLS FARGO BANK,,,,Gas,Local Dealer,Franchise,,McLennan
1GNKRHKD7GJ206036,Domestic,Truck,UT,FULL-SIZED SPORT UTILITY,Chevrolet,Traverse,LT,63040,24980,2016,,Jim Turner Chevrolet,1015 E Mcgregor Dr,McGregor,TX,76657,P127715,Mcgregor,TX,76657,Used,202201,TX,EXTRACO BANK,,,,Gas,Local Dealer,Franchise,,McLennan
3C3CFFAR5CT335343,Import,Car,CP,SUBCOMPACT,FIAT,500,Pop,90283,4980,2012,,Jim Turner Chevrolet,1015 E Mcgregor Dr,McGregor,TX,76657,P127715,Mcgregor,TX,76657,Used,202201,TX,Ally Financial,,,,Gas,Local Dealer,Franchise,,McLennan
1C4PJLCB8EW249600,Domestic,Truck,UT,COMPACT SPORT-UTILITY,Jeep,Cherokee,Latitude,111893,13880,2014,,Jim Turner Chevrolet,1015 E Mcgregor Dr,McGregor,TX,76657,P127715,Mcgregor,TX,76657,Used,202201,TX,,,,,Gas,Local Dealer,Franchise,,McLennan
1G1FF1R79H0157187,Domestic,Car,CP,SPORTY,Chevrolet,Camaro,SS,60425,34880,2017,,Jim Turner Chevrolet,1015 E Mcgregor Dr,McGregor,TX,76657,P127715,Mcgregor,TX,76657,Used,202201,TX,Unidentified Lienholder,,,,Gas,Local Dealer,Franchise,,McLennan
5XXGT4L18GG014478,Import,Car,4D,LARGE,Kia,Optima,LX Turbo,115044,0,2016,Yes,Drive Casa,3417 Franklin Ave,Waco,TX,76710,P152019,Mcgregor,TX,76657,Used,202201,TX,DRIVE CASA,,,,Gas,Local Dealer,Independent,,McLennan
3GTU9BED9LG347874,Domestic,Truck,PU,FULL-SIZED PICKUP,GMC,Sierra 1500,SLE,24986,45985,2020,,AutoNation Chevrolet Waco,1625 N. Valley Mills Drive,Waco,TX,76710,P8111,Mcgregor,TX,76657,Used,202201,TX,US BANK,,,,Gas,Local Dealer,Franchise,,McLennan
KM8SM4HF3HU255822,Import,Truck,UT,FULL-SIZED SPORT UTILITY,Hyundai,SANTA FE,SE,77472,22949,2017,,Greg May Hyundai,1501 West Loop 340,Waco,TX,76712,P129711,Mcgregor,TX,76657,Used,202201,TX,SANTANDER CONSUMER USA,,,,Gas,Local Dealer,Franchise,,McLennan
5XXGT4L34KG359985,Import,Car,4D,LARGE,Kia,Optima,LX,20226,25995,2019,,Richard Karr Motors,900 W Loop 340,Waco,TX,76712,P7142,Mcgregor,TX,76657,Used,202201,TX,PNC BANK,,,,Gas,Local Dealer,Franchise,,McLennan
1FTEW1E45KKE34072,Domestic,Truck,PU,FULL-SIZED PICKUP,Ford,F-150,XL,51688,43995,2019,,Richard Karr Motors,900 W Loop 340,Waco,TX,76712,P7142,Mcgregor,TX,76657,Used,202201,TX,,,,,Gas,Local Dealer,Franchise,,McLennan
5N1AR2MN0DC674354,Import,Truck,UT,FULL-SIZED SPORT UTILITY,Nissan,Pathfinder,S,142400,9590,2013,,AUTONET,1365 Regal Row,Dallas,TX,75247,P108872,Mcgregor,TX,76657,Used,202201,TX,,,,,Gas,Pump-In Dealer,Independent,,McLennan
